Movie Name,Genre,Description,Crew,Keywords
"1.
Sanju
(2018)","Biography, Comedy, Drama",2010-2019 Bollywood Movies
"2.
Padmaavat
(2018)","Drama, History, Romance","Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life."
"3.
Simmba
(2018)","Action, Crime, Drama","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar."
"4.
Race 3
(2018)","Action, Crime, Thriller",Simmba enjoys all the perks of being an amoral and unethical police officer until a life-changing event forces him to choose the righteous path.
"5.
Baaghi 2
(2018)","Action, Crime, Drama",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.
"6.
Thugs of Hindostan
(2018)","Action, Adventure","A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India."
"7.
Badhaai ho
(2018)","Comedy, Drama",A story about one man's love for his nation and another's love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.
"8.
Raazi
(2018)","Action, Drama, Thriller",A man is embarrassed when he finds out his mother is pregnant.
"9.
Sonu Ke Titu Ki Sweety
(2018)","Comedy, Romance",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
"10.
Gold
(I) (2018)","Drama, History, Sport",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.
"11.
Raid
(2018)","Action, Crime, Drama",The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.
"12.
Zero
(III) (2018)","Action, Comedy, Drama",A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.
"13.
Padman
(2018)","Comedy, Drama","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
"14.
Veere Di Wedding
(2018)",Comedy,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
"15.
Satyameva Jayate
(2018)","Action, Crime, Drama",Four girls on their way to find true love discover that their friendship must remain strong until the wedding of a friend named Veer.
"16.
Sui Dhaaga: Made in India
(2018)","Comedy, Drama",An honest cop attempts to hunt down a vigilante who kills corrupt cops by setting them on fire.
"17.
Andhadhun
(2018)","Crime, Mystery, Thriller",It's a heart-warming story of pride and self-reliance capturing the journey of Mauji and his wife Mamta who pursue their passion by overcoming all odds.
"18.
Dhadak
(2018)","Drama, Romance","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
"19.
Kedarnath
(2018)","Drama, Romance","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings."
"20.
Parmanu: The Story of Pokhran
(2018)","Action, Drama, History","Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love."
"21.
102 Not Out
(2018)","Comedy, Drama","Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies."
"22.
Hichki
(2018)","Comedy, Drama","102 Not Out is a 2018 comedy-drama film, with legendary actor Amitabh Bachchan playing a 102-year-old wanting to break the oldest-man-alive record. Another Bollywood legend Rishi Kapoor plays his sad and grumpy 75-year-old son."
"23.
October
(II) (2018)","Drama, Romance","Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential."
"24.
Batti Gul Meter Chalu
(2018)",Drama,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
"25.
Soorma
(2018)","Biography, Drama, Sport","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening."
"26.
Pari
(I) (2018)","Fantasy, Horror, Mystery","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport."
"27.
Manmarziyaan
(2018)","Comedy, Drama, Romance","Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her."
"28.
Baazaar
(2018)","Crime, Drama, Thriller","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material."
"29.
Hate Story IV
(2018)","Crime, Drama, Thriller","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman."
"30.
Mulk
(I) (2018)",Drama,"Aryan and Rajveer, sons of a wealthy businessman, Vikram Khurana, fall in love with the same woman, Tasha. Not only do they commit a deed they cannot undo but also end up as targets in a revenge plan."
"31.
Blackmail
(I) (2018)","Comedy, Thriller",One family member tries to help her own family when they are trapped in a dark controversy.
"32.
Happy Phirr Bhag Jayegi
(2018)",Comedy,"When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge."
"33.
Karwaan
(2018)","Adventure, Comedy, Drama","Harpreet Kaur, a woman who travels to China to find her fiance, gets mistakenly kidnapped by some thugs whose assignment was to abduct another woman of the same name travelling by the same flight."
"34.
Aiyaary
(2018)","Action, Crime, Drama",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.
"35.
1921
(2018)","Horror, Mystery, Romance","After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, and his mentor, a colonel, races to hunt him down."
"36.
Tumbbad
(2018)","Drama, Fantasy, Horror","A decade after 1920. When Ayush arrives in England to learn music, he is shocked and scared when the manor he is living in becomes haunted by spirits. To exorcise them, he seeks the help of Rose, a woman who can see and speak with them."
"37.
Loveyatri
(2018)","Comedy, Drama, Music",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
"38.
Fanney Khan
(2018)","Comedy, Drama, Music","Sushrut, a garba teacher, who falls in love with NRI girl Michelle when she visits town during festival"
"39.
Mukkabaaz
(2017)","Action, Drama, Sport",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.
"40.
Namaste England
(2018)","Comedy, Drama, Romance",A boxer struggles to make his mark in the boxing world.
"41.
Paltan
(2018)","Action, Drama, History","An Indian couple go to great lengths to move to London, England."
"42.
Pataakha
(2018)","Action, Comedy, Drama",An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.
"43.
Saheb Biwi Aur Gangster 3
(2018)","Action, Crime, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them."
"44.
Kaalakaandi
(2018)","Comedy, Thriller","The royal saga of deceit, conspiracy, greed and lust continues in the third installment of the series, as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain."
"45.
Genius
(I) (2018)","Action, Thriller","Focusing on life, death and karma, this dark comedy follows three parallel tracks - a man who discovers that he is a terminally ill, a woman seeking redemption and two goons with major trust issues."
"46.
Helicopter Eela
(2018)",Drama,"An orphan, with a brilliant mind, joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death, he can't live in peace with his love. So, he hatches a genius plan."
"47.
Nanu Ki Jaanu
(2018)","Comedy, Drama, Horror","Eela Raiturkar, an aspiring singer, gives up on her career after her husband abandons her and their son, Vivaan. However, years later, he encourages his mother to pursue her dream."
"48.
Nawabzaade
(2018)","Comedy, Romance","Nanu Ki Jaanu is a dark comedy, the story of which revolves around a Delhi land mafia agent (Abhay Deol) who tries to deal with the arrival of a ghost in his apartment."
"49.
3 Storeys
(2018)",Drama,"Three best friends fall in love with a simple, stay-at-home girl from their neighbourhood. As they all go out of their way to win her love, they are pitted against each other in their efforts."
"50.
Mitron
(2018)",Comedy,"""3 Storeys"" is an intriguing film full of twists and turns. Over the course of 3 acts, dark secrets and past regrets are revealed, and it becomes clear that life in this small community is ...                See full summary��"
"51.
Veerey Ki Wedding
(2018)","Comedy, Romance","In order to bring stability in Jai's life, his father decides to get him married. However, fate has other plans."
"52.
Pihu
(2016)","Drama, Thriller","What happens when the most eligible bachelor in Delhi, Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                See full summary��"
"53.
Laila Majnu
(2018)","Drama, Romance","A two year old must fend for herself when her mother suddenly passes by away while her father is gone for a conference, leaving her prone to danger."
