Movie Name,Genre,Description,Crew,Keywords
Sanju,"Biography, Comedy, Drama",2010-2019 Bollywood Movies,,
Padmaavat,"Drama, History, Romance","Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",,
Simmba,"Action, Crime, Drama","Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",,
Race 3,"Action, Crime, Thriller",Simmba enjoys all the perks of being an amoral and unethical police officer until a life-changing event forces him to choose the righteous path.,,
Baaghi 2,"Action, Crime, Drama",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,,
Thugs of Hindostan,"Action, Adventure","A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.",,
Badhaai ho,"Comedy, Drama",A story about one man's love for his nation and another's love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.,,
Raazi,"Action, Drama, Thriller",A man is embarrassed when he finds out his mother is pregnant.,,
Sonu Ke Titu Ki Sweety,"Comedy, Romance",A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,,
"Gold
(I)","Drama, History, Sport",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,,
Raid,"Action, Crime, Drama",The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,,
"Zero
(III)","Action, Comedy, Drama",A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,,
Padman,"Comedy, Drama","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life.",,
Veere Di Wedding,Comedy,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",,
Satyameva Jayate,"Action, Crime, Drama",Four girls on their way to find true love discover that their friendship must remain strong until the wedding of a friend named Veer.,,
Sui Dhaaga: Made in India,"Comedy, Drama",An honest cop attempts to hunt down a vigilante who kills corrupt cops by setting them on fire.,,
Andhadhun,"Crime, Mystery, Thriller",It's a heart-warming story of pride and self-reliance capturing the journey of Mauji and his wife Mamta who pursue their passion by overcoming all odds.,,
Dhadak,"Drama, Romance","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",,
Kedarnath,"Drama, Romance","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings.",,
Parmanu: The Story of Pokhran,"Action, Drama, History","Mansoor, a reserved and reticent Pithoo, helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love.",,
Not Out,"Comedy, Drama","Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",,
Hichki,"Comedy, Drama","102 Not Out is a 2018 comedy-drama film, with legendary actor Amitabh Bachchan playing a 102-year-old wanting to break the oldest-man-alive record. Another Bollywood legend Rishi Kapoor plays his sad and grumpy 75-year-old son.",,
"October
(II)","Drama, Romance","Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential.",,
Batti Gul Meter Chalu,Drama,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,,
Soorma,"Biography, Drama, Sport","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening.",,
"Pari
(I)","Fantasy, Horror, Mystery","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport.",,
Manmarziyaan,"Comedy, Drama, Romance","Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",,
Baazaar,"Crime, Drama, Thriller","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material.",,
Hate Story IV,"Crime, Drama, Thriller","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.",,
"Mulk
(I)",Drama,"Aryan and Rajveer, sons of a wealthy businessman, Vikram Khurana, fall in love with the same woman, Tasha. Not only do they commit a deed they cannot undo but also end up as targets in a revenge plan.",,
"Blackmail
(I)","Comedy, Thriller",One family member tries to help her own family when they are trapped in a dark controversy.,,
Happy Phirr Bhag Jayegi,Comedy,"When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge.",,
Karwaan,"Adventure, Comedy, Drama","Harpreet Kaur, a woman who travels to China to find her fiance, gets mistakenly kidnapped by some thugs whose assignment was to abduct another woman of the same name travelling by the same flight.",,
Aiyaary,"Action, Crime, Drama",Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,,
1921,"Horror, Mystery, Romance","After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, and his mentor, a colonel, races to hunt him down.",,
Tumbbad,"Drama, Fantasy, Horror","A decade after 1920. When Ayush arrives in England to learn music, he is shocked and scared when the manor he is living in becomes haunted by spirits. To exorcise them, he seeks the help of Rose, a woman who can see and speak with them.",,
Loveyatri,"Comedy, Drama, Music",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,,
Fanney Khan,"Comedy, Drama, Music","Sushrut, a garba teacher, who falls in love with NRI girl Michelle when she visits town during festival",,
Mukkabaaz,"Action, Drama, Sport",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.,,
Namaste England,"Comedy, Drama, Romance",A boxer struggles to make his mark in the boxing world.,,
Paltan,"Action, Drama, History","An Indian couple go to great lengths to move to London, England.",,
Pataakha,"Action, Comedy, Drama",An action-war drama based on the 1967 Nathu La and Cho La clashes along the Sikkim border after 1962 Sino-Indian War.,,
Saheb Biwi Aur Gangster 3,"Action, Crime, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.",,
Kaalakaandi,"Comedy, Thriller","The royal saga of deceit, conspiracy, greed and lust continues in the third installment of the series, as the Saheb and Biwi are pitted against an enemy and everyone involved is scheming ruthlessly for their own personal gain.",,
"Genius
(I)","Action, Thriller","Focusing on life, death and karma, this dark comedy follows three parallel tracks - a man who discovers that he is a terminally ill, a woman seeking redemption and two goons with major trust issues.",,
Helicopter Eela,Drama,"An orphan, with a brilliant mind, joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death, he can't live in peace with his love. So, he hatches a genius plan.",,
Nanu Ki Jaanu,"Comedy, Drama, Horror","Eela Raiturkar, an aspiring singer, gives up on her career after her husband abandons her and their son, Vivaan. However, years later, he encourages his mother to pursue her dream.",,
Nawabzaade,"Comedy, Romance","Nanu Ki Jaanu is a dark comedy, the story of which revolves around a Delhi land mafia agent (Abhay Deol) who tries to deal with the arrival of a ghost in his apartment.",,
Storeys,Drama,"Three best friends fall in love with a simple, stay-at-home girl from their neighbourhood. As they all go out of their way to win her love, they are pitted against each other in their efforts.",,
Mitron,Comedy,"""3 Storeys"" is an intriguing film full of twists and turns. Over the course of 3 acts, dark secrets and past regrets are revealed, and it becomes clear that life in this small community is ...                See full summary��",,
Veerey Ki Wedding,"Comedy, Romance","In order to bring stability in Jai's life, his father decides to get him married. However, fate has other plans.",,
Pihu,"Drama, Thriller","What happens when the most eligible bachelor in Delhi, Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                See full summary��",,
Laila Majnu,"Drama, Romance","A two year old must fend for herself when her mother suddenly passes by away while her father is gone for a conference, leaving her prone to danger.",,
Jalebi,"Drama, Romance","Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.",,
Mohalla Assi,"Comedy, Drama",A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,,
Beyond the Clouds,"Drama, Family",A Sanskrit priest decides to take matters in n his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.,,
FryDay,"Comedy, Drama","A hedonistic teenager in Mumbai is busted for dealing drugs and goes to his estranged sister for help, but complications land her in jail.",,
Daas Dev,"Drama, Thriller","A desperate salesman Rajiv (Varun Sharma) is on the brink of losing his job at a water purifying company and asked to leave if he fails to sell at least one purifier by Friday. But, Rajiv finds himself in the middle of a marital mess when a seasoned ex-salesman Manchanda (Sanjay Mishra) puts him in touch with a quirky couple.",,
Bhavesh Joshi Superhero,"Action, Crime, Drama","Daas Dev is a 2018 romantic-thriller, with an interesting, modern take on the classic tale of DevDas-Paro-Chandramukhi love triangle, starring Rahul Bhat as Dev, the supremely talented Richa Chadda as Paro, and Aditi Rao Hydari as Chandni.",,
Dil Juunglee,"Comedy, Romance","The origin story of Bhavesh Joshi, an Indian superhero, who sets out to fulfill his slain friend's wish to clean and reform the country, by training himself to fight and wearing a mask.",,
Vodka Diaries,"Mystery, Thriller",The movie is a romantic comedy that displays the ups and downs in Sumit and Karol's relationship.,,
"Missing
(I)","Drama, Mystery, Thriller","In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries.",,
Nirdosh,"Drama, Mystery, Thriller","Sushant Dubey checks in at a beach resort of Mauritius late night with his lovely wife Aparna and three-year-old daughter, Titli, who has high fever. As Aparna wakes up the next morning, ...                See full summary��",,
Bioscopewala,Drama,"Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However, as events unfold, many possibilities and suspects come to the fore.",,
Weddings,"Comedy, Drama, Romance","A woman meets her dead father's old friend, who was the operator of a Bioscope show that she loved in her childhood. Connecting India and Afghanistan, a story of love and cinema unfolds.",,
Phamous,"Comedy, Crime, Drama","An American journalist travels to India to cover Bollywood weddings, only to uncover a mosaic of cultural clashes, transgender tangles and lost loves with her travels culminating at a destination where the only journey is the one within.",,
High Jack,Comedy,India's highlands descend into bullet-riddled mayhem as the longtime rivalries and ruthless revenge missions among four men come to a head.,,
Hope Aur Hum,"Comedy, Drama, Family",Four angry employees hijack a Goa to Delhi plane to settle their dues and take revenge against their employer. Things take a turn when the passengers accidentally consume drinks laced with drugs.,,
Kuchh Bheege Alfaaz,Romance,"A father obsessed with an old school copying machine wreaks havoc on the family, causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other.",,
Lashtam Pashtam,Drama,"In a world of pings, likes, tweets, shares and comments, 2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts, safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another.",,
Manto,"Biography, Drama",Lashtam Pashtam is a drama based in Dubai and explores the bond of friendship between two boys - an Indian and a Pakistani - who are doubles partners in Tennis.,,
Stree,"Comedy, Horror",The film is a biographical account of writer Saadat Hasan Manto's life and is set in 1940s India.,,
Tiger Zinda Hai,"Action, Adventure, Thriller","In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",,
Golmaal Again,"Action, Comedy, Fantasy","Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq.",,
